target_pitch,actual_pitch,target_roll,actual_roll,estimated_total_velocity,vertical_velocity,a_x,a_y,a_z
6.920000,7.018785,-4.987672,-4.777240,9.855352,0.706027,1.109174,0.484826,9.582792
7.360000,7.235883,-5.175864,-4.612895,9.864906,0.713540,1.080550,0.672771,10.366894
9.200000,7.606584,-5.267428,-5.058025,9.877606,0.762762,0.960092,0.432153,10.728417
10.920000,8.118194,-5.314514,-5.502834,9.878141,0.843263,1.196238,0.179565,11.781867
13.120000,8.454460,-5.309912,-5.629243,9.898889,0.957102,1.303578,0.243011,10.988189
14.600000,8.774269,-5.323304,-5.623680,9.915609,1.028264,1.177156,0.471658,11.558009
15.560000,9.546531,-5.293870,-5.388248,9.839062,1.308713,1.166422,0.043096,11.347319
15.560000,10.064979,-5.317179,-5.217868,9.867188,1.395180,1.241559,-0.088585,11.496957
13.480000,10.690822,-4.890009,-4.923845,9.885591,1.459793,1.321468,0.185551,11.259931
11.440000,11.260419,-3.497618,-4.880437,9.909702,1.522223,1.195046,0.162806,11.277887
12.240000,11.727853,-1.982940,-4.888075,9.924041,1.573282,1.414495,0.211887,10.721235
12.680000,11.840810,-0.932342,-4.682579,9.947168,1.645819,1.285688,0.908600,10.512939
9.480000,11.521618,-0.516570,-4.190769,9.931153,1.666246,1.245137,1.088165,10.359711
4.880000,11.279545,-0.391657,-3.354407,9.915800,1.688951,1.326238,0.591368,10.273520
2.880000,11.146116,-0.308754,-2.702522,9.905904,1.710032,1.376330,0.125696,10.404003
2.400000,10.740673,-0.308036,-2.802922,9.896405,1.724059,1.495596,-0.507571,10.345345
2.480000,9.499966,-0.490911,-2.785254,9.895644,1.730729,1.334587,-0.361524,9.254786
2.560000,8.103889,-0.386839,-2.151330,9.886986,1.676938,1.062660,0.101754,8.312668
3.640000,6.887220,-0.566626,-1.406263,9.854763,1.460882,1.079358,-0.117316,6.505046
4.760000,6.217872,-0.907478,-0.734670,9.834144,1.269458,0.857523,0.172383,5.701791
7.240000,5.953128,-1.690097,-0.573174,9.818583,1.084357,0.808624,0.045490,6.597223
8.080000,5.959379,-2.532196,-0.495443,9.810592,0.917731,0.912385,-0.165200,6.616376
9.800000,6.096812,-3.432683,-0.076357,9.802421,0.658304,0.776422,-0.280122,7.957129
11.240000,6.364006,-3.897633,-0.180808,9.808992,0.553719,0.601101,-0.389058,8.184579
12.640000,6.875447,-4.185007,-0.738461,9.815464,0.417481,0.846789,-0.111330,9.157822
14.040000,7.449995,-4.415273,-1.603010,9.824979,0.409990,1.005413,0.134075,10.590752
14.360000,7.641023,-4.441196,-2.440155,9.833630,0.450387,1.137798,0.295684,11.841722
15.760000,8.168464,-4.279290,-3.585490,9.772622,0.778537,1.097248,0.458490,11.270704
17.200001,8.659759,-4.130173,-3.577940,9.786493,0.836492,1.112752,0.536301,11.077971
16.959999,9.063936,-3.797309,-3.656159,9.797980,0.870959,1.141376,0.430956,11.174936
16.440001,9.334345,-3.236971,-3.762048,9.802371,0.947794,1.071009,0.946907,10.163386
16.200001,9.733180,-2.364051,-3.637978,9.773717,0.951888,0.930275,0.944513,10.506954
15.720000,10.289614,-1.211453,-3.288652,9.745803,0.957321,1.248715,0.502782,10.477027
17.200001,10.844439,-0.665570,-2.718938,9.716561,1.022997,1.116330,0.009577,10.838552
16.879999,11.299391,-0.141316,-2.212450,9.710291,1.056276,1.103211,0.116119,10.951078
16.639999,11.758608,0.060651,-1.578839,9.708405,1.148984,1.232018,0.359130,11.441890
16.160000,12.158176,1.417817,-1.113556,9.713989,1.219978,1.307156,0.466869,11.850101
16.280001,12.450957,2.050464,-0.921905,9.727900,1.304882,1.304770,-0.287304,12.155362
17.480000,12.766972,2.037426,-0.946369,9.750614,1.397977,1.465780,-0.480037,11.404779
18.360001,12.940530,1.186294,-0.792122,9.778974,1.523574,1.360826,0.033519,11.567586
18.400000,12.721469,0.061457,-0.227264,9.801619,1.583399,1.457431,-0.272939,12.130223
17.600000,12.126313,0.000000,0.317425,9.838140,1.713573,1.265413,-0.070629,10.467450
17.360001,12.344747,-0.927367,0.023857,9.875447,1.743583,1.307156,-0.430956,11.356895
17.320000,12.529795,-1.491632,-0.687450,9.921963,1.867042,1.295229,-0.916979,11.493365
16.920000,12.567392,-2.056202,-0.993311,9.947731,1.906625,1.453853,-0.001197,10.726024
15.880000,12.533123,-2.371488,-1.144951,9.966186,1.922242,1.358440,0.278924,10.478224
15.560000,12.477009,-2.520080,-1.638727,9.980866,1.910739,1.263027,0.266953,9.745598
16.000000,12.492097,-2.580594,-1.774205,9.972994,1.826477,1.307156,-0.262165,9.220071
17.200001,12.645664,-2.622081,-1.281118,9.966740,1.754208,1.408532,0.114922,9.452309
16.959999,12.849279,-2.510434,-1.283263,9.928109,1.705935,1.500367,0.591368,9.653421
15.040000,13.013322,-1.862618,-2.054363,9.894046,1.666079,1.557615,0.581791,9.812635
14.760000,13.268457,-0.888535,-2.843822,9.865726,1.627790,1.598165,0.611719,9.968259
14.800000,13.567185,-0.578019,-2.732534,9.843437,1.597867,1.657798,0.372298,9.643845
14.800000,13.756581,-0.494805,-1.832068,9.822743,1.556868,1.908257,0.748188,10.006566
14.440000,13.804211,-0.452764,-1.190842,9.803227,1.516633,1.781835,0.919373,9.503783
14.560000,13.956332,-0.370266,-1.001497,9.792029,1.479328,1.728165,0.567426,9.679757
15.400000,13.785043,-0.349202,-0.736615,9.785417,1.453434,1.786605,0.468066,10.030508
16.639999,13.227174,-0.491700,-0.864236,9.782770,1.432872,1.790183,0.132878,9.287108
17.480000,12.935067,-0.715458,-1.223845,9.772711,1.352187,1.453853,0.292093,8.180987
18.320000,13.152206,-0.981270,-1.497968,9.765285,1.268113,1.441926,0.000000,9.477448
19.959999,13.354811,-1.738488,-1.166387,9.763809,1.192925,1.539725,-0.124498,9.692925
19.959999,13.265763,-2.188873,-0.996774,9.771045,1.170771,1.443119,-0.538695,9.324219
19.959999,13.635016,-2.378220,-1.398945,9.778384,1.102747,1.377523,-0.399832,9.659407
19.559999,13.990713,-2.445541,-1.877657,9.787067,1.095406,1.571926,-0.050278,9.728839
19.200001,14.115265,-2.428283,-2.167161,9.794941,1.071707,1.728165,-0.052672,10.035296
17.840000,13.978956,-2.202976,-2.429019,9.804441,1.064566,1.519449,0.223858,9.302670
17.520000,14.150906,-1.917381,-3.018949,9.809435,0.985919,1.384679,0.284910,8.998607
16.920000,14.464346,-1.693699,-3.298988,9.812943,0.928928,1.444312,0.500388,8.803479
15.800000,14.626042,-1.461943,-3.069190,9.774592,0.827948,1.552844,0.241814,9.072827
13.880000,14.537992,-0.596464,-2.462423,9.765806,0.576720,1.698348,0.471658,8.236053
13.760000,14.654731,-0.020508,-2.285930,9.731771,0.523687,1.736514,0.339977,8.884883
13.000000,14.700941,0.061352,-1.823503,9.702622,0.447434,1.861743,0.470461,9.491813
10.720000,14.678764,2.671047,-1.358242,9.681730,0.413959,1.946422,0.256180,8.912416
10.720000,14.609137,4.186516,-0.809483,9.663295,0.376476,1.864128,0.539892,9.473856
9.680000,14.349026,5.465818,-0.609261,9.649095,0.329038,1.872477,0.205901,9.088389
9.400000,13.956666,6.332814,-0.557408,9.639746,0.289253,1.861743,-0.216675,9.453506
10.000000,13.643491,6.917689,0.185894,9.632257,0.235543,1.756789,0.043096,8.622718
12.720000,13.391305,6.966293,1.357672,9.626917,0.185341,1.679266,0.168791,8.791509
14.680000,13.190683,6.662212,2.647802,9.626549,0.132320,1.546880,0.107739,8.854955
17.680000,13.206302,5.647481,3.993656,9.628466,0.054005,1.654220,-0.284910,9.056067
17.400000,13.318012,5.231588,4.050933,9.630945,0.030517,1.613670,-0.208296,9.370906
17.280001,13.360570,4.997274,3.804285,9.640678,0.010636,1.555229,-0.064643,9.583989
15.760000,13.415514,4.801536,3.919714,9.648178,-0.018205,1.614862,-0.245406,9.209297
14.400000,13.466163,4.162002,4.281011,9.654549,-0.029655,1.629174,-0.435745,9.862914
11.720000,13.332514,2.735333,3.956931,9.677874,-0.059624,1.601743,-0.379481,9.182961
11.440000,13.273034,2.451876,3.050799,9.679620,-0.078792,1.623211,0.383072,9.502586
11.440000,13.274363,2.145244,2.306319,9.666106,-0.084878,1.638715,0.245406,9.678560
11.280000,13.250536,1.981586,1.922239,9.657845,-0.079794,1.715046,-0.363919,9.701305
11.280000,13.082128,2.099633,1.661447,9.649912,-0.075083,1.730550,-0.132878,9.516952
11.280000,12.932240,2.036637,1.663175,9.643982,-0.094127,1.624403,0.210690,9.297882
11.240000,12.731328,1.893839,1.941718,9.642765,-0.090243,1.747247,-0.472855,9.785102
10.680000,12.663343,1.671268,2.358376,9.639076,-0.084621,1.701926,0.184354,9.876082
10.760000,12.532734,1.408800,2.452607,9.638384,-0.054236,1.792569,0.318429,10.032902
